	v7EBR1	v8EBR1	v12EBR1	v17EBR1	v7MBR1	v8MBR1	v12MBR1	v17MBR1	v7LBR1	v8LBR1	v12LBR1	v17LBR1	v7WBR1	v8WBR1	v12WBR1	v17WBR1	v7EHR1	v8EHR1	v12EHR1	v17EHR1	v7MHR1	v8MHR1	v12MHR1	v17MHR1	v7LHR1	v8LHR1	v12LHR1	v17LHR1	v7WHR1	v8WHR1	v12WHR1	v17WHR1	FemaleA1R1	FemaleA2R1	FemaleA3R1	FemaleA4R1	FemaleO1R1	FemaleO2R1	FemaleO3R1	FemaleO4R1	FemaleH1R1	FemaleH2R1	FemaleH3R1	FemaleH4R1	FemaleL1R1	FemaleL2R1	FemaleL3R1	FemaleL4R1	FemaleM1R1	FemaleM2R1	FemaleM3R1	FemaleM4R1	FemaleT1R1	FemaleT2R1	FemaleT3R1	FemaleT4R1	MaleA1R1	MaleA2R1	MaleA3R1	MaleA4R1	MaleC1R1	MaleC2R1	MaleC4R1	MaleH1R1	MaleH2R1	MaleH3R1	MaleH4R1	MaleL1R1	MaleL2R1	MaleL3R1	MaleL4R1	MaleM1R1	MaleM2R1	MaleM3R1	MaleM4R1	MaleT1R1	MaleT2R1
XP015517236.1	0	0	0	1.576	21.147	0	0	0	0	0	0.553	0	0	2.54	0	0	0	0	0	2.456	0.957	0	0	0.427	1.076	1.13	0	0	0	0	0	0	0.224	0.508	0	0.84	0	0	0	0	0	0.35	0.688	0.5	0.553	0.973	0	0	0	2.282	0	0	0	0	0	0	0	0	2.236	0	0	0.757	0	0	0.555	0.497	1.459	0.893	0	0	1.229	0	0	0	0	4.771	2.195
XP015509826.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.174	4.916	0	0	10.782	4.281	0	0	1.108	0	0	0	0	0	0	0	0	0.866	0	0	6.722	0	0	0	0	0	1.171	8.722	4.382	7.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015513917.1	38.082	20.406	78.776	62.073	34.887	60.494	25.022	14.488	89.038	103.078	70.127	74.207	15.635	10.867	10.019	10.717	19.571	20.781	12.701	15.704	8.203	12.92	11.902	19.489	20.357	20.765	16.123	17.777	14.778	16.352	16.204	14.732	146.767	142.025	148.154	115.073	19.794	27.664	26.478	22.377	87.179	79.806	71.762	59.881	50.387	63.542	70.122	64.614	33.535	28.473	30.467	31.413	28.847	31.976	19.129	34.358	188.671	166.33	129.611	145.203	49.384	44.031	51.905	158.726	160.441	134.408	107.357	101.506	110.546	95.923	108.586	38.467	38.75	45.549	44.969	45.851	83.851
XP015521236.1	0	0	0	0	0	14.887	19.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP011882703.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.512	1.182	4.401	2.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.579	0	5.471	0	0	0	0	0	0	0	0	0	0
EZA47184.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.679	0	0	0	0	0	0	0	0	2.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.063	0	0	0	0	0	0	9.638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.954
XP015516421.1	0	0	0	0	0	0	0	0	0	3.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.371	0	0	1.833	0	14.827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015513036.1	0	0	0	2.778	0	0	0	0	0	0	0	0	0	0	0	2.164	0	1.664	3.766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.917	0	0	0	0	0	0	0	0	0	0	0	0	0	3.224	0	2.226	0	0	0	0	5.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.351	0	1.593	0	0	0	0
KYN27497.1	0	0	0	4.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	1.554	0	2.953	0	0	0	0	6.503	4.505	0	0	1.154	0	3.045	2.241	0	4.641	0	8.231	0	0	0	2.976	0	1.973	0	0	0	0	0	5.229	3.084	0	0	8.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.094	0	3.538	0	0	0
XP015516241.1	7.817	0.745	3.768	3.862	3.22	2.942	4.447	0.562	1.623	2.301	1.732	1.993	3.976	5.955	3.484	5.967	1.672	2.985	3.002	2.298	1.143	1.055	2.153	0.958	2.152	3.131	1.346	1.646	6.192	6.01	13.018	10.494	3.734	3.245	2.974	1.934	5.252	2.369	5.547	6.294	10.368	7.689	8.969	10.666	18.77	10.649	11.304	11.644	4.625	2.798	3.04	3.171	3.668	4.596	3.66	3.98	1.161	1.937	0.178	2.048	4.059	4.197	9.018	7.918	14.048	11.415	7.148	2.607	4.633	4.063	7.167	3.111	1.808	2.087	2.244	1.922	2.062
XP015515948.1	14.589	0	32.446	12.257	0	17.203	34.372	13.478	19.972	15.788	16.657	9.795	31.799	25.859	54.185	33.695	29.707	25.125	24.312	40.023	37.397	37.245	0	44.021	45.613	15.973	33.742	0	19.553	28.436	15.168	31.159	42.121	26.178	54.779	86.497	56.308	46.667	71.672	71.357	18.865	34.297	56.77	67.939	15.878	21.945	5.243	53.664	48.241	33.491	22.956	85.757	41.219	61.892	69.152	49.16	0	69.806	14.763	44.967	17.771	64.553	27.893	0	0	40.796	31.942	70.886	32.463	8.719	30.009	18.296	23.417	69.953	105.35	54.664	65.098
XP015524663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.949	0	0	0	0	0	0	0	1.409	0	0	0	0	6.224	0	4.012	0	1.098	0	0	1.068	0	0	0	0	0	0	0	0	0	0	2.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.756	0	0	0	0	0	0	0	0	0
XP015523445.1	7.608	5.213	26.893	19.41	4.938	32.337	22.791	3.819	41.492	28.566	21.41	17.53	3.663	7.655	6.142	7.288	36.559	28.139	40.304	25.379	33.369	42.796	48.639	55.658	33.034	34.708	25.28	40.225	4.98	9.192	9.977	9.268	12.774	18.141	10.735	12.962	7.251	9.468	7.223	8.055	18.649	23.153	15.089	18.824	5.86	9.39	5.177	6.788	12.119	12.792	3.093	8.212	11.411	13.694	8.298	12.257	23.781	20.39	11.866	11.193	7.208	5.568	2.588	31.933	32.026	22.683	24.137	8.824	5.518	10.061	7.076	16.048	11.08	9.02	4.248	1.524	7.302
XP015524608.1	12.833	21.001	0	11.764	36.927	8.784	0	0	43.739	3.603	0	0	0	0	0	0	0	7.13	0	5.945	10.768	9.968	0	4.576	0	0	0	0	0	0	0	0	3.045	0	0	1.873	2.477	0	0	0	2.375	0.889	0	2.112	26.704	6.907	3.41	5.825	0	0	0	11.51	0	4.158	0	0	0	0	0	6.011	5.892	0	6.484	7.316	0	2.537	2.754	6.866	0	3.407	0	0	0	0	0	0	0
XP015517539.1	0	0	0	0	0	0	0	0	0	1.462	0	0	0	0	0	0	0	0	0	0	0	4.447	0	3.095	0	0	0	0	0	0	0	0	2.677	2.054	2.696	3.089	0	3.938	4.005	7.805	3.451	3.15	0	1.833	7.87	8.758	0	3.373	0	0	0	7.063	3.055	2.441	3.757	4.245	18.912	0	0	3.853	0	3.753	16.491	0	0	0	0	2.787	4.535	3.835	7.365	0	9.664	6.289	2.301	0	0
KMQ86945.1	1.672	0	0	3.37	0	0	0	0	0	0.362	0	0	1.979	0	3.393	6.763	0	0.656	0	0	0.292	0	0	0.918	2.258	1.74	0	3.837	4.035	0.935	5.205	26.857	0.12	0	0.318	0	0	0	0	0	0.347	0.482	1.203	0.406	0	0	0	0	0	1.151	0	0	0	0	0	1.706	0	0	0	0	4.383	0.711	0	1.787	0	0	0	0	0	0.815	0	0	0	2.196	0.517	0	0
XP015521141.1	0	0	22.564	0	13.204	6.613	11.717	0	0	0.781	0	0	1.085	0	0	5.156	3.493	10.352	7.419	4	2.194	3.909	0	11.558	20.797	0	21.18	0	13.973	10.009	6.28	0	2.733	9.147	2.004	7.816	15.427	0	0	11.492	0	3.317	6.407	7.89	8.646	5.614	3.468	2.273	12.105	0	0	0.977	19.256	0	15.645	6.714	0	0	0	0	0	0	0	0	0	6.851	26.8	0	23.383	0	4.459	0	2.917	0	0	53.206	4.515
XP015517708.1	0	0	0	0	0	0	0	0	0	0	0	0	1.892	0	0.624	4.432	0	0	0	0	0	0	0	0.142	0	0	0	0	6.16	2.064	2.517	0.987	2.116	6.396	3.769	2.818	7.46	20.624	22.497	4.874	8.859	5.761	2.757	5.035	2.201	6.818	2.505	1.208	3.083	4.327	6.899	5.147	2.395	3.619	1.61	1.614	3.531	4.908	2.414	6.23	6.765	8.485	8.659	4.905	11.097	5.774	3.896	1.151	8.195	6.725	4.413	1.154	2.194	0	0.481	0	4.343
XP015514529.1	0	0	0	0	0	0	0	0	0	0	5.085	0	0	0	0	0	2.515	1.217	0	1.377	0	0	0	0.285	0	0	0	14.227	0	0	0	1.995	1.547	0	1.749	2.153	0	1.778	3.624	0	0.635	1.498	0	0.748	0	0	0	0	3.124	0	0	0	0	2.097	0	1.579	3.579	4.975	0	0	0	0	0	3.315	3.14	1.734	1.386	0	0	0	1.275	0	0	0	0	0	1.097
XP015509187.1	0	0	14.864	0	0	5.2	78.161	0	0	0	1.511	0	0	46.747	31.437	36.536	0	7.187	0	9.787	16.139	34.684	33.818	0	9.057	0	0	0	0	13.363	0	0	0	0	0	17.837	39.598	3.034	0	22.877	0.065	10.776	0	2.449	0	0	0	24.807	0	0	0	0	41.465	0	0	10.85	25.474	0	0	0	0	0	0	7.512	0	0	0	13.631	0	0	0	0	19.66	0	37.061	5.566	0
KOC67886.1	1.212	0	0	0	0	0	1.353	0	0	1.042	0	0	0	0	2.759	1.989	0	0	0	0	0	0.469	0	0.372	0	0	0	0	0	0.624	0	1.558	0.593	0	0	0.385	0.746	0	0	1.227	1.603	0.367	0	3.85	1.595	0	1.307	0.963	0	0	0	0.083	0	3.928	0	1.241	0	0	0	1.097	0	1.038	0	1.296	1.23	0	3.288	0.869	1.628	0	0	0	0.87	0	0	0	2.035
XP015517561.1	19.856	42.301	72.534	28.041	80.939	34.741	34.913	12.354	28.835	37.741	27.122	31.412	14.662	38.267	22.616	25.755	65.153	44.993	17.14	25.016	48.737	58.257	62.128	49.088	33.442	45.34	41.348	48.984	31.927	42.939	19.377	17.517	27.047	22.918	24.276	71.426	46.66	17.845	26.078	20.457	8.317	30.326	32.884	45.644	22.578	13.344	8.982	28.862	14.163	12.632	18.3	44.592	31.874	32.264	36.604	37.914	0	17.75	43.271	0	6.41	21.742	0	43.811	6.601	10.44	40.573	38.473	0	7.323	12.112	17.285	35.459	31.493	36.693	22.462	21.646
XP015521850.1	34.194	18.469	64.122	49.146	6.87	69.788	48.912	24.26	59.779	61.285	43.521	28.913	26.287	35.467	28.386	34.459	117.722	136.14	137.975	90.791	103.137	123.736	114.188	134.051	126.967	111.995	114.812	136.165	43.85	47.197	50.487	56.042	57.059	42.991	58.436	54.035	64.027	95.777	63.669	74.498	122.672	83.105	69.435	56.273	49.313	97.892	81.017	95.868	55.412	59.173	69.855	65.907	66.257	75.916	47.867	77.183	94.046	70.39	53.714	65.451	120.529	93.768	94.534	63.368	37.626	61.114	60.851	92.557	133.263	132.317	148.39	91.197	81.219	81.224	95.29	45.586	104.413
XP015517012.1	49.661	26.81	34.266	48.771	35.317	56.372	36.147	22.912	63.836	43.775	42.452	26.278	62.938	83.842	72.985	86.056	39.135	23.861	36.68	25.156	26.389	25.771	33.241	30.619	22.485	26.236	34.499	33.606	84.931	76.31	94.931	89.839	55.873	47.049	65.084	56.04	53.076	62.142	74.981	45.128	100.882	75.858	107.844	102.791	129.882	102.833	121.266	117.996	82.01	56.563	68.599	61.046	67.435	73.719	65.624	84.856	78.567	64.99	68.629	66.841	70.216	69.826	48.768	78.743	64.859	91.528	60.474	75.302	105.241	97.237	94.242	66.687	66.125	61.658	53.797	49.032	88.666
KOB51873.1	7.483	0	0	0	0	0	0	0	0	0	0	11.146	0	0	0	0	0	5.846	0	0	0	0	0	1.354	0	0	0	0	0	0	0	0	0	0	0	2.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.522	0	0	0	0	0	0	0	0	0	0	0	0
XP015514738.1	10.576	11.767	13.055	8.06	9.017	13.095	11.953	3.145	0.886	14.92	6.891	13.24	4.479	12.177	6.142	7.853	17.42	10.257	15.094	12.727	11.141	19.497	18.468	13.054	15.49	9.192	14.008	14.478	10.828	15.772	6.542	8.634	25.757	28.827	22.781	24.83	10.583	9.169	6.388	15.429	17.118	15.745	16.648	16.033	24.247	10.874	17.656	8.971	17.796	13.329	14.074	17.115	15.72	13.349	9.714	10.287	19.412	26.293	21.775	25.483	11.024	15.417	15.847	11.674	12.355	16.698	19.183	15.596	6.753	11.082	10.045	10.134	15.971	16.184	10.138	0	11.618
XP015517001.1	7.106	2.681	1.762	0	20.288	6.001	8.048	0	0	1.838	0	2.128	1.675	3.155	3.444	0.716	10.345	12.254	6.775	3.777	0.997	2.17	0	1.29	10.166	7.362	1.967	9.741	13.662	15.761	11.734	5.444	2.22	0	1.066	1.96	2.298	0	0	0	1.162	1.641	0	0.685	20.397	9.663	1.526	6.71	2.849	9.749	1.822	1.826	156.023	42.051	127.789	92.288	0	0	0	1.28	0	0	0	0	0	0.79	0	0	0	2.762	1.167	0	1.011	0	1.749	89.119	97.245
XP015511680.1	30.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.069	0	0	0	0	0	0	0	0	0	93.23	0	0	0	0	0	0	4.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015520620.1	0	0	0	0	0	0	0	0	0	0.97	0	0	0	0	1.339	0	0	0.884	0	0	0.399	0.86	0	0.792	0	1.17	0	3.151	0	0.419	1.141	0	1.106	0	0.954	1.444	0	0.785	0	1.909	0.462	2.083	3.57	2.26	0.362	0	0.591	0	0	1.549	0	1.953	0.424	0	0.739	0	0	0	0	1.744	0	0.959	0	2.053	1.67	0.95	1.787	1.174	0	2.146	0.923	0	0.803	1.315	0	0	0
XP015514493.1	0	0	0	0.493	0	0.35	0	0	0	0.217	0	0.743	0	1.1	0.403	0.995	1.2	1.16	0	0	1.223	1.515	0	0.807	0	0.51	0	1.129	4.754	1.645	2.045	2.535	1.611	2.367	0.374	1.365	0.398	2.825	0	0	1.415	1.429	1.066	0.358	0	2.164	1.855	2.727	0.991	1.361	0	0	1.688	0.998	1.038	0.5	0	1.579	1.55	1.341	0	0.842	0	0.526	0	1.377	0.663	0	0.661	2.885	0.81	0.742	0.705	1.294	1.827	0	1.051
XP015522877.1	2343.676	1260.081	1237.394	1469.247	1848.276	1202.124	1430.966	1083.821	965.714	1162.753	1134.374	1694.84	871.493	426.822	456.647	541.113	1975.255	1991.176	1566.408	877	1263.569	1792.462	964	1218.826	1743.979	2369.438	774.585	1509.62	751.973	1300.077	844.506	884.168	89.444	107.52	85.106	63.558	1449.447	1262.883	978.995	557.985	511.386	162.245	124.475	92.499	2218.956	1640.781	2028	1773.254	405.295	447.521	311.486	220.298	766.967	392.83	677.679	199.274	59.171	52.812	65.25	53.526	896.117	976.525	692.279	110.963	163.21	122.484	100.452	750.589	442.102	645.617	428.493	467.551	310.194	331.075	367.411	224.089	253.649
XP015518157.1	30.056	20.852	50.973	42.938	2.791	66.743	47.965	18.644	71.475	69.707	64.157	39.654	87.22	104.231	104.905	107.26	32.074	51.619	60.573	46.749	45.227	69.046	37.428	65.181	67.169	59.483	60.666	79.203	70.958	105.08	89.411	116.177	157.955	157.741	153.792	144.488	119.54	138.632	108.391	123.91	104.218	126.129	103.775	119.356	73.38	121.028	106.924	115.449	161.887	142.179	135.735	163.986	79.591	120.438	97.045	103.563	229.156	199.853	155.172	221.64	137.358	113.773	111.275	101.972	93.62	91.369	105.144	118.433	149.281	137.377	144.646	139.213	137.65	131.476	134.659	27.63	81.231
XP014366482.1	0	0	0	0	0	0	0	0	0	0	0	0.777	0	0	0	0	0	0	0	0.921	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	3.833	1.054	4.82	3.182	0	1.3	1.997	0	0	0	3.266	0	0	0	0	1.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.714	0	0	0	0	0	0	0	0	0	0	0
XP012235005.1	0	3.724	2.438	3.311	0	4.166	0	9.771	4.169	10.217	6.449	2.939	6.207	1.462	1.591	27.457	8.518	13.413	0	12.829	7.179	8.532	0	23.447	7.06	2.05	6.365	6.014	0	0	4.759	0.842	3.358	6.287	5.423	9.268	2.656	1.502	12.244	10.021	0.809	1.647	10.379	13.599	0	5.117	3.527	5.693	1.321	3.615	3.377	7.198	1.754	0.883	2.068	2.005	9.077	17.869	10.291	15.412	2.288	11.174	2.473	2.796	7.968	8.062	8.206	0.932	3.507	5.758	5.399	0	1.41	3.436	7.695	23.588	6.038
XP015515466.1	0	2.085	0	0	0	1.122	0	0	0	0.188	0	0	4.966	0	2.84	6.389	6.177	0.532	0	0	1.356	4.613	0	2.976	0	2.841	0	0	9.133	3.72	3.107	9.351	3.085	5.002	2.282	2.879	4.725	8.586	4.646	9.118	1.126	3.546	0	2.702	0	4.484	0	3.032	0	0	3.086	0	1.396	5.615	0	4.945	1.935	0	0	0	0	3.277	0	3.623	0	3.524	2.614	5.034	1.677	0	0	0	0	3.524	1.409	0	3.751
XP015520963.1	5.852	4.022	9.485	2.207	2.576	1.282	3.449	1.348	0	0.622	2.395	1.621	1.293	1.621	1.178	0.366	11.809	6.578	15.66	10.029	5.384	11.278	1.775	6.499	3.261	4.921	3.027	5.003	0.58	1.075	1.888	1.87	24.018	36.13	23.521	28.313	2.656	2.503	1.276	1.852	2.989	1.681	1.828	1.138	5.243	10.813	9.39	7.464	2.56	5.513	2.335	4.929	1.801	1.228	1.144	2.964	11.738	14.566	30.211	9.535	1.272	4.027	9.587	0.778	1.104	1.013	2.924	14.774	6.807	14.189	10.475	20.253	9.634	17.803	6.74	0	2.062
XP015521401.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.112	0	10.235	35.727	0	0	6.31	2.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.832	0	0	0	0	0	0	0	0	0	0	0	0	5.416	0	0
XP015518900.1	19.396	14.15	24.781	30.268	9.768	34.61	14.405	2.471	25.552	19.608	24.248	11.112	8.985	57.636	20.653	29.645	47.363	30.667	38.775	19.267	30.617	32.339	18.927	26.551	29.683	23.905	35.901	22.005	36.381	24.061	28.738	15.439	37.185	56.399	43.789	31.665	19.058	11.941	19.775	27.91	70.4	63.389	51.721	50.1	24.173	39.27	35.802	28.934	35.668	39.297	31.447	23.088	22.321	20.171	49.891	28.965	53.835	54.059	58.39	55.123	27.61	44.26	15.048	33.972	73.136	60.7	40.318	27.097	52.804	45.98	41.781	26.489	48.518	22.08	13.954	29.154	43.851
XP020297637.1	0	7.447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284	8.24	0	2.223	0	0	0	0	4.946	1.549	0	2.902	0	0	4.316	0	0	0	0	2.592	0	0	0	0	9.255	12.855	6.276	0	7.002	0	0	0	0	4.48	1.793	0	0	0	0	0	11.485	3.504	4.956	0	0
XP015513841.1	0	0	0	0	0	0	0	0	0	0	0	0	22.319	0	61.173	28.532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015516423.1	0	7.894	8.925	0	0	0	7.05	4.268	2.197	3.98	0	3.411	0	12.857	0	5.641	5.827	0	0	13.062	0	0	5.066	6.942	12.18	0	0	7.121	7.984	6.913	9.492	0	7.012	9.198	0	8.551	0	0	13.901	0	3.184	4.332	0	4.15	5.105	0	0.029	0.478	7.198	6.937	6.662	17.221	10.373	0	19.244	4.199	7.142	15.375	16.033	21.557	0	0	10.983	0	5.314	0	2.249	6.992	5.862	0	4.657	6.544	12.87	9.779	0.007	30.744	0
XP015513126.1	22.197	16.831	47.415	46.426	16.102	60.101	32.631	1.348	50.729	33.37	38.067	16.821	72.253	90.036	69.561	71.034	28.567	38.881	59.108	43.623	33.688	43.725	63.919	42.834	45.711	31.167	42.061	35.207	43.346	57.238	64.371	70.608	111.867	78.758	106.003	64.634	61.053	54.969	50.699	49.968	107.539	97.077	92.107	109.786	75.528	78.308	69.289	68.89	106.316	62.921	88.14	58.98	56.675	53.325	41.655	61.014	178.707	126.014	113.857	141.814	81.727	77.522	98.714	157.85	192.188	146.091	163.357	68.858	89.102	82.549	107.555	110.475	80.429	95.564	90.455	53.869	84.303
XP015518205.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.087	4.964	4.81	0	0	0	0	0	1.116	0	0	0	0	0	4.537	0	0	0	0	0	1.698	0	7.017	0	0	0	1.182	0	1.475	0	0	0	4.832	0	0	0	0	2.329	4.129	0	0	0	0	0	0	0	0	0	0	0	3.423	0	8.722	0	0	0	0	4.382	0	0	27.498	0
XP011685465.1	0	0	0	0	0	0	0	0	0	0	0	17.902	0	0	0	0	9.705	4.706	0	26.589	6.328	6.87	0	20.724	26.838	18.664	24.877	41.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015514294.1	0	0	0	0.749	5.367	0	0	0	0	0.97	0	0	0	0	0	0.382	2.441	0	0	0	0	0.86	0	0.823	3.375	0	0	0	0	0	0	0	1.715	0	0.565	1.252	0	0	0	0	0.924	0	0	0.179	0	0	0	2.374	0	0	1.937	0	1.716	1.013	0	1.534	0	0	0	0	0	0	0	0	0.761	0	0.334	0	0	0	0	0	0	0	0	0	0
XP015512171.1	38.207	18.916	58.767	46.15	22.221	84.5	41.152	17.409	136.347	65.453	43.263	45.328	29.403	57.021	31.478	55.599	71.169	59.215	59.398	59.355	45.732	61.209	22.709	59.046	62.701	48.441	46.28	49.833	61.149	43.197	76.354	70.681	145.365	118.032	161.06	102.522	90.654	99.685	95.107	79.054	172.185	137.422	88.748	122.19	148.408	113.489	126.078	103.565	150.807	121.856	123.783	96.186	73.376	105.81	100.969	94.844	207.568	169.262	188.534	187.78	128.735	105.954	99.371	183.042	167.34	142.713	112.049	137.74	168.075	171.847	163.517	177.575	150.029	127.525	98.773	45.388	95.602
XP015514591.1	0	2.085	0	0	0	0	0	0	8.95	7.438	0	7.971	0	0	0	3	7.29	10.02	12.319	2.726	2.366	5.483	7.257	2.874	5.022	4.921	3.815	4.354	0	0	13.136	0	35.43	27.201	31.146	22.904	1.283	7.136	16.484	7.186	14.367	13.106	9.84	7.226	18.526	11.398	21.088	13.074	23.302	23.149	21.011	7.453	5.224	2.068	17.739	8.345	66.798	45.781	41.086	46.735	6.061	6.148	0	5.024	6.326	12.02	11.877	19.166	2.814	24.139	35.085	12.982	10.461	26.587	7.136	0	4.183
XP015522809.1	0	0	0	0	0	6.497	0	0	0	7.959	0	27.562	0	0	0	0	7.466	0	0	0	0	0	0	0	0	0	0	0	14.788	0	0	23.605	0	0	0	0	0	0	0	0	0	0	0	2.217	0	4.484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015515239.1	2.048	0	6.359	0	0	2.17	0	0	0	0.883	0	1.52	6.068	0	0.836	1.034	0	0.808	0	0	0.718	0.391	0	1.124	0.921	5.331	1.421	2.347	0	3.806	1.062	0	0.144	0.704	0	0	4.983	0	2.389	2.085	0	1.974	0.739	4.198	0	0.497	0	0.807	28.883	18.347	13.178	14.553	0.783	0.689	0	1.045	0	0	0	0	7.158	5.235	0	0	0	1.147	3.665	0	1.371	0	0	6.169	5.136	8.058	11.391	0	0.725
XP015521278.1	0	0	0	0	0	0	0	0	0	0.304	0	0	2.491	12.495	0	2.474	0	0	0	0	0	0	0	0	0	0	0	0	2.254	1.559	0.721	0	0.096	0	0.262	0	0	2.414	1.639	0	0	0.138	0.504	0.337	0	0	0	0.556	0	0	0	0.909	0.538	2.844	0	12.148	0	0	0	0	0	0	0	0	0	0	0.316	1.002	0	0	0	1.057	0	0	0	6.295	3.977
XP015520017.1	0.627	1.192	0.793	0.65	0	0.452	0	0	0	0.304	0	0	0.755	1.462	2.064	1.4	2.913	1.578	3.044	2.354	0.718	1.065	0	1.156	0.571	0	0	0	1.02	1.989	0.669	0.821	2.38	1.35	1.034	2.783	2.069	0.732	2.226	4.812	3.119	5.204	5.353	5.383	0.83	2.79	1.146	2.135	1.411	5.255	6.884	2.171	3.187	2.327	2.235	3.239	1.467	4.272	0	3.804	0	3.531	4.79	1.359	1.287	2.135	5.203	0.454	0.852	3.102	0	0	3.187	1.227	4.219	0	9.437
XP015517697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.124	0	0	0	12.447	0	0	0	0
XP015523122.1	0	11.32	23.416	12.02	3.972	21.325	16.231	6.963	19.398	14.732	14.04	13.68	6.355	25.881	13.866	9.317	18.458	18.385	25.218	13.75	13.893	21.637	29.988	20.637	25.159	14.293	0	23.673	21.871	7.622	0	24.613	7.092	4.051	3.538	2.853	13.309	2.929	28.371	18.423	11.949	7.706	10.826	6.389	6.636	9.309	10.807	7.924	12.25	0	7.573	3.223	19.002	15.001	14.65	4.245	0	0	0	0	0	0	0	0	0	7.776	15.634	6.036	0	6.444	4.096	0	13.158	0	10.619	29.684	11.292
XP015514945.1	0	0	0	0	0	0	0	0	0	1.056	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0.895	0	0	0	0	0	0	0	0	1.394	0	0	2.713	0	0	0	0	0	0.471	0	0	0	3.579	1.314	0	0	0	0	1.578	0.934	0	0	0	0	3.927	3.837	2.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015516774.1	8.277	0	0	3.113	0	2.913	0	0	0	2.677	0	3.074	0	0	0	0.517	13.373	3.242	0	0.912	0.359	3.157	0	1.504	2.772	4.291	0	0	1.653	1.914	1.062	0	3.077	0.704	5.033	2.853	2.507	2.361	0	0	0	0.993	0	0.743	4.052	5.525	8.31	0	5.189	9.931	0	1.33	3.536	2.779	5.403	5.244	2.37	0	0	0	0	0	0	0	0	0	0.462	0.736	0	0	0	1.552	2.948	0.901	5.727	0	5.107
